学名 withAuthor,和名,別名,ステータス,LAPG 科名,LAPG Family,LAPG no.,Cronquist 科名,Cronquist family,cronquist No.,Engler 科名,Engler family,Engler no.,生態,学名,修正日,ID,発表年,LAPGII::LAPG Family広義,LAPGII::LAPG Order,LAPGII::LAPG 目,LAPGII::LAPGno.,LAPGII::LAPG科名,LAPGII::LAPG Family狭義
Arisaema takesimense Nakai,マムシグサ,タケシママムシグサ,synonym,サトイモ科,Araceae,771001020,サトイモ科,サトイモ科,721,サトイモ科,Araceae,643,,Arisaema takesimense,2014.01.19,44900,1929,ARACEAE,ALISMATALES,オモダカ目,771002010,サトイモ科,Araceae
Lemna perpusilla auct. non Torr.,ナンゴクアオウキクサ,,synonym,サトイモ科,Araceae,771001020,ウキクサ科,ウキクサ科,722,ウキクサ科,Lemnaceae,644,,Lemna perpusilla,2014.01.19,44901,0,ARACEAE,ALISMATALES,オモダカ目,771002010,サトイモ科,Araceae
Commelina communis L.  var. ludens (Miq.) C.B.Clarke  f. leucantha Nakai,シロバナホソバツユクサ,,標準,ツユクサ科,Commelinaceae,776002020,ツユクサ科,ツユクサ科,726,ツユクサ科,Commelinaceae,632,,Commelina communis var. ludens f. leucantha,2020.09.29,44902,1935,COMMELINACEAE,COMMELINALES,ツユクサ目,776002020,ツユクサ科,Commelinaceae
Eriocaulon glaberrimum Miyabe et Satake  var. platypetalum (Satake) Satake,ツクシクロイヌノヒゲ,タンナクロイヌノヒゲ,synonym,ホシクサ科,Eriocaulaceae,776005060,ホシクサ科,ホシクサ科,727,ホシクサ科,Eriocaulaceae,636,,Eriocaulon glaberrimum var. platypetalum,2020.03.11,44903,1943,ERIOCAULACEAE,POALES,イネ目,776004050,ホシクサ科,Eriocaulaceae
Eriocaulon sphagnicola Ohwi,カラフトホシクサ,,synonym,ホシクサ科,Eriocaulaceae,776005060,ホシクサ科,ホシクサ科,727,ホシクサ科,Eriocaulaceae,636,,Eriocaulon sphagnicola,2016.05.09,44904,1931,ERIOCAULACEAE,POALES,イネ目,776004050,ホシクサ科,Eriocaulaceae
Eriocaulon tenuissimum Nakai,イヌノヒゲ,ホソホシクサ,synonym,ホシクサ科,Eriocaulaceae,776005060,ホシクサ科,ホシクサ科,727,ホシクサ科,Eriocaulaceae,636,,Eriocaulon tenuissimum,2016.05.09,44905,1917,ERIOCAULACEAE,POALES,イネ目,776004050,ホシクサ科,Eriocaulaceae
Alopecurus alpinus Sm.  subsp. stejnegeri (Vasey) Hultén,チシマヤリクサ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Alopecurus alpinus subsp. stejnegeri,2014.01.19,44906,1968,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Alopecurus stejnegeri Vasey,チシマヤリクサ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Alopecurus stejnegeri,2014.01.19,44907,1887,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Calamagrostis arundinacea (L.) Roth  var. densa Honda ex Miyabe et Kudô ,ホダチノガリヤス,ホソホノガリヤス,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Calamagrostis arundinacea var. densa,2014.01.19,44908,1931,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Leymus vilosissimus (Scribn.) Tzvelev,シラゲテンキグサ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Leymus vilosissimus,2014.01.19,44909,1960,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Elymus vilosissimus Scribn.,シラゲテンキグサ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Elymus vilosissimus,2014.01.19,44910,1899,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Lycopodium integrifolium sensu Matsuda et Nakai,ナガバスギラン,,synonym,ヒカゲノカズラ科,Lycopodiaceae,111101010,ヒカゲノカズラ科,ヒカゲノカズラ科,203,ヒカゲノカズラ科,Lycopodiaceae,203,外,Lycopodium integrifolium,2015.05.29,44911,0,LYCOPODIACEAE,LYCOPODIALES,ヒカゲノカズラ目,111101010,ヒカゲノカズラ科,Lycopodiaceae
Acer pictum Thunb.  var. horizontale Nakai,エゾイタヤ,ミヤマイタヤ,synonym,ムクロジ科,Sapindaceae,787563050,カエデ科,カエデ科,610,カエデ科,Aceraceae,446,,Acer pictum var. horizontale,2014.01.19,44913,1919,SAPINDACEAE,SAPINDALES,ムクロジ目,787576060,ムクロジ科,Sapindaceae
