type,record_id,plant_name,from,to
family_align_ylist,hostplant-kamikiri-audit-20260625-0518,ウリハダカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0519,ウリハダカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0520,ウリハダカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0521,ウリハダカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0523,コハウチワカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0547,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0548,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0549,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0550,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0551,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0552,トチノキ,トチノキ科,ムクロジ科
