row,record_id,insect_id,plant_name,filled_family,ylist_canonical,ylist_scientific_name,factcheck_source
12909,hostplant-B1B6-0816,species-3874,フジ,マメ科,フジ,Wisteria floribunda,public/assets/data-lite/ylist-lite.json
12912,hostplant-B1B6-0819,species-3874,ニレ,ニレ科,ハルニレ,Ulmus davidiana var. japonica,public/assets/data-lite/ylist-lite.json
12915,hostplant-B1B6-0822,species-3874,モクセイ,モクセイ科,モクセイ,Osmanthus fragrans,public/assets/data-lite/ylist-lite.json
12916,hostplant-B1B6-0823,species-3874,ヤブコウジ,サクラソウ科,ヤブコウジ,Ardisia japonica,public/assets/data-lite/ylist-lite.json
12930,hostplant-B1B6-0838,species-3885,ヤシャブシ,カバノキ科,ヤシャブシ,Alnus firma,public/assets/data-lite/ylist-lite.json
12932,hostplant-B1B6-0840,species-3885,ドウダンツツジ,ツツジ科,ドウダンツツジ,Enkianthus perulatus,public/assets/data-lite/ylist-lite.json
12933,hostplant-B1B6-0841,species-3885,ミヤマキリシマ,ツツジ科,ミヤマキリシマ,Rhododendron kiusianum,public/assets/data-lite/ylist-lite.json
12938,hostplant-B1B6-0846,species-3887,カシワ,ブナ科,カシワ,Quercus dentata,public/assets/data-lite/ylist-lite.json
12939,hostplant-B1B6-0847,species-3887,アベマキ,ブナ科,アベマキ,Quercus variabilis,public/assets/data-lite/ylist-lite.json
12941,hostplant-B1B6-0849,species-3887,コナラ,ブナ科,コナラ,Quercus serrata,public/assets/data-lite/ylist-lite.json
12943,hostplant-B1B6-0851,species-20461,オオバギ,トウダイグサ科,オオバギ,Macaranga tanarius var. tomentosa,public/assets/data-lite/ylist-lite.json
12944,hostplant-B1B6-0852,species-20461,アカメガシワ,トウダイグサ科,アカメガシワ,Mallotus japonicus,public/assets/data-lite/ylist-lite.json
12945,hostplant-B1B6-0853,species-20461,クスノハガシワ,トウダイグサ科,クスノハガシワ,Mallotus philippensis,public/assets/data-lite/ylist-lite.json
12951,hostplant-B1B6-0860,species-3896,オオバギ,トウダイグサ科,オオバギ,Macaranga tanarius var. tomentosa,public/assets/data-lite/ylist-lite.json
12952,hostplant-B1B6-0861,species-3896,アカメガシワ,トウダイグサ科,アカメガシワ,Mallotus japonicus,public/assets/data-lite/ylist-lite.json
12964,hostplant-B1B6-0882,species-3907,ハンノキ,カバノキ科,ハンノキ,Alnus japonica,public/assets/data-lite/ylist-lite.json
12969,hostplant-B1B6-0899,species-3912,ブナ,ブナ科,ブナ,Fagus crenata,public/assets/data-lite/ylist-lite.json
12972,hostplant-B1B6-0914,species-3919,コウライヤナギ,ヤナギ科,オオタチヤナギ,Salix pierotii,public/assets/data-lite/ylist-lite.json
