insect_id,japanese_name,scientific_name,hostplant_count,general_note_count,notes
"species-22148","アマミクスベニカミキリ","Pyrestes inaequalicollis Hayashi, 1962","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22149","クスベニカミキリ","Pyrestes nipponicus Hayashi, 1987","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22151","マツダクスベニカミキリ","Pyrestes yayeyamensis Hayashi, 1972","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22152","ヨツオビハレギカミキリ","Acrocyrtidus elegantulus longicornis Hayashi, 1962","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22153","フェリエベニボシカミキリ","Rosalia (Eurybatus) ferriei Vuillet, 1911","1","0","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22155","ルリボシカミキリ","Rosalia (Rosalia) batesi Harold, 1877","1","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22162","ニッポンモモブトコバネカミキリ 本土亜種","Merionoeda (Ocytasia) formosana septentrionalis Tamu & Tsukamoto, 1952","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22163","オガサワラモモブトコバネカミキリ","Merionoeda (Ocytasia) tosawai Kobayashi, 1932","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22164","ヤエヤマホソバネカミキリ 八重山亜種","Thranius multinotatus latipennis Hayashi, 1963","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22169","トラフホソバネカミキリ 基亜種","Thranius variegatus variegatus Bates, 1873","3","0","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22173","ムモンベニカミキリ","Amarysius sanguinipennis adachii Fujita, 2023","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22176","ヘリグロベニカミキリ","Purpuricenus (Sternoplistes) spectabilis Motschulsky, 1858","4","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22177","ベニカミキリ","Purpuricenus (Sternoplistes) temminckii (Guérin-Méneville, 1844)","4","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22178","ベーツヤサカミキリ","Leptoxenus ibidiiformis Bates, 1877","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22179","アオスジカミキリ","Xystrocera globosa (Olivier, 1795)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22181","ヒナルリハナカミキリ","Dinoptera minuta (Gebler, 1832)","1","0","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22183","オトメクビアカハナカミキリ 基亜種","Gaurotes (Carilia) otome otome Ohbayashi, 1959","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22185","カラカネハナカミキリ","Gaurotes (Paragaurotes) doris Bates, 1884","2","0","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
