kind,insect_id,normalized_japanese_name,public_japanese_name,normalized_scientific_name,public_scientific_name
"mismatch","species-H902","","","Calomicrus chujoi Nakane, 1958","Calomicrus chujoi Nakane, 1958; Exosoma chujoi (Nakane, 1958)"
"mismatch","species-H904","","","Calomicrus iniquus (Weise, 1889)","Calomicrus iniquus (Weise, 1889);"
"mismatch","species-H915","","","Lilioceris theana (Reitter, 1898)","Lilioceris theana (Reitter, 1898);"
"mismatch","species-H916","","","Crioceris subpolita Motschulsky, 1861","Crioceris subpolita Motschulsky, 1861;アカツヤクビナガハムシ"
"mismatch","species-H917","","","Lema (?) rugifrons Jacoby, 1889","Lema (?) rugifrons Jacoby, 1889; Lema (Lema) paagai Chûjô, 1933"
"mismatch","species-H920","","","Aspidomorpha indica Boheman, 1854","Aspidomorpha indica Boheman, 1854; Aspidomorpha diffotmis (Motschulsky, )"
"mismatch","species-H924","","","Cassida viridis japonica Yasutomi","Cassida viridis japonica Yasutomi, ; CPC に記録なし"
"mismatch","species-H941","","","Colasposoma auripenne Motschulsky, 1860","Colasposoma auripenne Motschulsky, 1860; Colasposoma oberthuri Jacoby, 1896"
"mismatch","species-H952","","","Cryptocephalus amiculus Baly, 1873","Cryptocephalus amiculus Baly, 1873；モモグロチビツツハムシ"
"mismatch","species-H954","","","Cryptocephalus fulvus Goze, 1777","Cryptocephalus fulvus Goze, 1777; ウスグロチビツツハムシ"
"only_in_public","species-20796","","フトオビマイコガ","","Stathmopoda sp. 1"
"only_in_public","species-20823","","カノコマルハキバガ","","Callimodes zelleri"
"only_in_public","species-20826","","ヘリクロコマルハキバガ","","Acryptolechia sp. 1"
"only_in_public","species-20839","","ツマジロベニマルハキバガ","","Promalactis venustella"
"only_in_public","species-20843","","アカガネマルハキバガ","","Promalactis akaganea"
"only_in_public","species-20859","","ゴマフキイロハビロキバガ","","Odites notocapna"
"only_in_public","species-20966","","ミスジコスカシバ","","Scalarignathia montis"
"only_in_public","species-20971","","ヒメボクトウ","","Cossus insulalis"
"only_in_public","species-20975","","ハイイロボクトウ","","Pharagmataecia castaneae"
"only_in_public","species-21659","","キンイロキリガ","","Clavipalpura aurariae"
"only_in_public","species-21807","","","","Agrilus nakanei Y. Kurosawa, 1963 ナカネナガタマムシ;Agrilus ohmomoi Toyama, 1985 オオモモナガタマムシ"
"only_in_public","species-22080","","","","Leptepania japonica (Hayashi, 1948);基亜種は台湾産;Leptepania minuta Gressitt, 1935"
