insect_id,japanese_name,scientific_name,reason
species-3858,アカネエダシャク,"Heterolocha coccinea Inoue, 1976",not_in_input
species-3859,シダエダシャク,"Petrophora chlorosata (Scopoli, 1763)",not_in_input
species-3860,ウラモントガリエダシャク,"Hypoxystis mandli Schawerda, 1924",not_in_input
species-3861,アキヨシトガリエダシャク,"Hypoxystis pulcheraria (Herz, 1905)",not_in_input
species-3862,ウスアカオビエダシャク,"Meteima mediorufa (Bastelberger, 1911)",not_in_input
species-3863,ツマトビシロエダシャク,"Spilopera debilis (Butler, 1878)",not_in_input
species-3864,ウコンエダシャク,"Corymica pryeri (Butler, 1878)",not_in_input
species-3865,ヒメウコンエダシャク,"Corymica arnearia Walker, 1860",not_in_input
species-3866,ヘリグロキエダシャク,"Corymica deducta (Walker, 1866)",not_in_input
species-3867,フトスジツバメエダシャク,"Ourapteryx japonica Inoue, 1993",not_in_input
species-3868,ウスキツバメエダシャク,"Ourapteryx nivea Butler, 1883",not_in_input
species-3870,コガタツバメエダシャク,"Ourapteryx obtusicauda (Warren, 1894)",not_in_input
species-3871,ヒメツバメエダシャク,"Ourapteryx subpunctaria Leech, 1891",not_in_input
species-3872,シロツバメエダシャク,"Ourapteryx maculicaudaria (Motschulsky, 1866)",not_in_input
species-3873,トラフツバメエダシャク,"Tristrophis veneris (Butler, 1878)",not_in_input
species-3885,クジュウフユシャク,"Inurois kyushuensis Inoue, 1974",not_in_input
species-3888,ハスオビトガリシャク,"Sarcinodes mongaku Marumo, 1920",not_in_input
species-3889,ムラサキトガリシャク,"Sarcinodes yaeyamana Inoue, 1976",not_in_input
species-3890,ハニンスホソシャク,"Derambila dentifera (Moore, 1888)",not_in_input
species-3891,エグリトガリシャク,"Ozola japonica Prout, 1910",not_in_input
species-3892,オキナワトガリシャク,"Ozola defectata Inoue, 1971",not_in_input
species-3893,ホシシャク,"Naxa seriaria (Motschulsky, 1866)",not_in_input
species-3894,オオシロアヤシャク,"Pingasa alba Swinhoe, 1891",not_in_input
