和名,学名,成虫時期,生態の備考
フタスジアツバ,"Bertula bistrigata (Staudinger, 1888)",1月～2月化・6月～8月,寄主植物: シダ類のコバノイシカグマ (コバノイシカグマ科)
シロスジアツバ,"Bertula spacoalis (Walker, 1859)",1月～2月化・6月～9月,寄主植物: 広葉樹類の枯れ葉
ウチキアツバ,"Bertula sinuosa (Leech, 1900)",6月～8月,"""未知。""。寄主植物: 未知"
アシブトアツバ,"Hywoolla jeremyi Owada, 2010",3月,"""未知。""。寄主植物: 未知"
ヒメナミアツバ,"Herminia kurokoi Owada, 1987",3月～10月,"""未知。""。寄主植物: 未知"
ヨスジカバイロアツバ,"Herminia robiginosa Staudinger, 1888",6月～8月,"""未知。""。寄主植物: 未知"
タイワンシラナミアツバ,"Herminia decipiens (Hampson, 1898)",3月,"""未知。""。寄主植物: 未知"
ヒメヒゲブトクロアツバ,"Nodaria externalis Guenée, 1854",多化性,"""未知。""。寄主植物: 未知"
ヒゲブトクロアツバ,"Nodaria tristis (Butler, 1879)",年1化,"""未知。""。寄主植物: 未知"
オガサワラヒゲブトクロアツバ,"Nodaria ogasawarensis Owada, 1987",多化性,"""未知。""。寄主植物: 未知"
シロヘリアツバ,"Simplicia mistacalis (Guenée, 1854)",3月～9月,"""未知。""。寄主植物: 未知"
オオアカマエアツバ,"Simplicia niphona (Butler, 1878)",5月頃から,寄主植物: 広葉樹類の枯れ葉
シシキバアツバ,"Simplicia discosticta (Hampson, 1912)",多化性,"""未知。""。寄主植物: 未知"
リュウキュウアカマエアツバ,"Simplicia cornicalis (Fabricius, 1794)",多化性,"""未知。""。寄主植物: 未知"
イワアツバ,"Megaloctena buxivora Owada, 1991",年1化,寄主植物: ツゲ (ツゲ科)
ツマオビアツバ,"Mesoplectra griselda (Butler, 1879)",年1化,"""スギ。""。寄主植物: コメツガ、アカマツ (以上マツ科)"
ウスイロアツバ,"Mesoplectra lilacina Butler, 1879",年1化・6月～8月,寄主植物: 幼虫はモミの生葉を食べる
コブヒゲアツバ,"Zanclognatha lunalis (Scopoli, 1763)",年1化・7月～8月,寄主植物: 広葉樹類の枯れ葉
ホンドコブヒゲアツバ,"Zanclognatha curvilinea (Wileman & South, 1917)",5月～9月,"""未知。""。寄主植物: 未知"
ヤクシマコブヒゲアツバ,"Zanclognatha yakushimalis Sugi, 1959",5月～10月,寄主植物: 広葉樹類の枯れ葉
ヤエヤマコブヒゲアツバ,"Zanclognatha yaeyamalis Owada, 1977",3月～10月,寄主植物: 広葉樹類の枯れ葉
ウスグロアツバ,"Traudinges fumosa (Butler, 1879)",年2回,"""未知。""。寄主植物: 未知"
ハスオビアツバ,"Traudinges obliqua (Staudinger, 1892)",6月～9月,寄主植物: スゲ類 (カヤツリグサ科)
ヒメコブヒゲアツバ,"Treitschkendia tarsipennalis (Treitschke, 1835)",年2化以上,寄主植物: 広葉樹類の枯れ葉
ヒメツマオビアツバ,"Treitschkendia subgriselda (Sugi, 1959)",年1化・7月～8月,寄主植物: 広葉樹類の枯れ葉
キイロアツバ,"Treitschkendia helva (Butler, 1879)",年2化・7月～8月,寄主植物: カシワ (ブナ科)
アミメアツバ,"Adrapsoides reticulatis (Leech, 1900)",年1化・6月～8月,寄主植物: ギシギシ (タデ科)
エゾクグロアツバ,Lygephila pastinum,6月～9月,"""クサフジ。""。寄主植物: Astragalus属 (以上マメ科)"
コウスグロアツバ,"Hypertrocon southi (Owada, 1982)",5月～9月,"""未知。""。寄主植物: 未知"
カサイヌマアツバ,"Hypertrocon perfractalis (Bryk, 1948)",6月～8月,"""未知。""。寄主植物: 未知"
ウラジロアツバ,"Hypertrocon violacealis (Staudinger, 1892)",5月～9月,"""未知。""。寄主植物: 未知"
カシワアツバ,"Pechipogo strigilata (Linnaeus, 1758)",6月～7月,寄主植物: 広葉樹類の枯れ葉
ツマテンコブヒゲアツバ,"Protozanclognatha triplex (Leech, 1900)",年1化・7月～8月,寄主植物: 広葉樹類の枯れ葉
クロスジアツバ,"Herminia grisealis (Denis & Schiffermüller, 1775)",年1月～4月化,寄主植物: 広葉樹類の枯れ葉
トビスジアツバ,"Herminia tarsicrinalis (Knoch, 1782)",4月～10月,寄主植物: 広葉樹類の枯れ葉
キタミスジアツバ,"Herminia stramentacealis Bremer, 1864",7月,寄主植物: 枯れ葉
ウスキミスジアツバ,"Herminia arenosa Butler, 1878",4月～9月,寄主植物: 広葉樹類の枯れ葉
フシキアツバ,"Herminia dolosa Butler, 1879",5月～9月,"""未知。""。寄主植物: 未知"
シラナミアツバ,"Herminia innocens Butler, 1879",4月～10月,寄主植物: 広葉樹類の枯れ葉
フサハラアツバ,"Herminia ryukyuensis Owada, 1982",3月～10月,"""未知。""。寄主植物: 未知"
ムモンキイロアツバ,"Stenhypena nigripuncta (Wileman, 1911)",年2化,寄主植物: 菌類のカワラタケ類 (サルノコシカケ科)
ハネナガキイロアツバ,"Stenhypena longipennis Owada, 1982",年2化,"""未知。""。寄主植物: 未知"
オオシラナミアツバ,"Hipoepa fractalis (Guenée, 1854)",多化性,寄主植物: 広葉樹類の枯れ葉
ミツオビキンアツバ,"Sinarella aegrota (Butler, 1879)",年1回・7月～8月,寄主植物: 蘚類
ネグロアツバ,"Sinarella punctalis (Herz, 1905)",5月～8月,寄主植物: 蘚類
ウスナミアツバ,"Sinarella itoi Owada, 1987",6月～7月,"""未知。""。寄主植物: 未知"
クロミツボシアツバ,"Sinarella japonica (Butler, 1881)",7月～9月,寄主植物: 蘚類
ヒメクロアツバ,"Sinarella rotundipennis Owada, 1982",6月～9月,"""未知。""。寄主植物: 未知"
シーモンアツバ,"Sinarella c-album Owada, 1992",5月～8月,"""未知。""。寄主植物: 未知"
クロテンナミアツバ,"Sinarella nigrisigna (Leech, 1900)",6月～7月,"""未知。""。寄主植物: 未知"
オスグロナミアツバ,"Progonia kurosawai Owada, 1987",多化性,寄主植物: 広葉樹類の枯れ葉
ドウブトクチバ,"Platyja umminia (Cramer, 1780)",8月,"""未知。""。寄主植物: 未知"
オスグロトモエ,"Spirama retorta (Clerck, 1759)",4月～7月・7月～9月,"""ネムノキ。""。寄主植物: アカシア (以上マメ科)"
ハグルマトモエ,"Spirama helicina (Hübner, 1831)",4月～6月・7月～9月,"""ネムノキ。""。寄主植物: アカシア (以上マメ科)"
ヨコツナトモエ,Erebus macrops,6月～8月,寄主植物: アカシア (マメ科)
オオトモエ,"Erebus ephesperis (Hübner, 1823)",4月～9月,"""サルトリイバラ。""。寄主植物: シオデ (以上ユリ科)"
シロスジトモエ,"Metopta rectifasciata (Ménétriès, 1863)",4月～8月,"""サルトリイバラ。""。寄主植物: シオデ (以上ユリ科)"
カキバトモエ,"Hypopyra vespertilio (Fabricius, 1787)",5月・7月～9月,"""ネムノキ。""。寄主植物: アカシア (以上マメ科)"
オオルリオビクチバ,"Ischyja manlia (Cramer, 1776)",7月～9月,"""ヤブニッケイ (クスノキ科)。""。寄主植物: ムベ (アケビ科)、ビワ、バラ (以上バラ科)、カキノキ (カキノキ科)、イジュ (ツバキ科)、ウスギコンロンカ (アカネ科)、モクタチバナ (ヤブコウジ科)、レイシ (ムクロジ科)、レンブ (ウコギ科)"
サビモンルリオビクチバ,"Ischyja ferrifracta (Walker, 1864)",5月～12月,寄主植物: シェフレラ (ウコギ科)
アカテンクチバ,"Erygia apicalis (Guenée, 1852)",4月～9月,"""フジ。""。寄主植物: クズ、イルカンダ (以上マメ科)"
オオムラサキクチバ,"Anisoneura aluco (Fabricius, 1775)",2月～8月,"""未知。""。寄主植物: 未知"
ヤエナミクチバ,"Anisoneura salebrosa (Guenée, 1852)",6月,"""未知。""。寄主植物: 未知"
スソミダレアツバ,"Pilipectus prunifera (Hampson, 1894)",6月～9月,寄主植物: タブノキ (クスノキ科)
クロモンハイイロクチバ,"Bamra albicola (Walker, 1858)",未詳,"""未知。""。寄主植物: 未知"
ウスエグリバ,"Calyptra thalictri (Borkhausen, 1790)",6月～7月・8月～9月,"""カラマツソウ。""。寄主植物: アキカラマツ (以上キンポウゲ科)"
キタエグリバ,"Calyptra hokkaida (Wileman, 1922)",6月～10月,"""ムラサキケマン。""。寄主植物: キケマン (以上ケシ科)、カラマツソウ、アキカラマツ (以上キンポウゲ科)"
キンイロエグリバ,"Calyptra lata (Butler, 1881)",6月～9月,"""アオツヅラフジ。""。寄主植物: コウモリカズラ (以上ツヅラフジ科)"
ハイイロオオエグリバ,"Calyptra albivirgata (Hampson, 1926)",6月～7月,寄主植物: ツヅラフジ (ツヅラフジ科)
ミナミエグリバ,"Calyptra minuticornis (Guenée, 1852)",4月・7月～11月,寄主植物: コバノハスノハカズラ (ツヅラフジ科)
マエスジエグリバ,"Calyptra orthograpta (Butler, 1886)",7月,寄主植物: ツヅラフジ (ツヅラフジ科)
ヒメエグリバ,"Oraesia emarginata (Fabricius, 1794)",3月～4月化・5月～11月,寄主植物: アオツヅラフジ (ツヅラフジ科)
アカエグリバ,"Oraesia excavata (Butler, 1878)",2月～3月化・3月～12月,寄主植物: アオツヅラフジ (ツヅラフジ科)
ギンスジエグリバ,"Oraesia argyrosticta (Moore, 1884)",10月,"""未知。""。寄主植物: 未知"
キンモンエグリバ,"Plusiodonta coelonota (Kollar, 1844)",3月～12月,"""ハスノハカズラ。""。寄主植物: コバノハスノハカズラ、アオツヅラフジ (以上ツヅラフジ科)"
サビモンエグリバ,"Plusiodonta tominagaorum (Kishida, 2010)",7月,寄主植物: コウシュウウヤク (ツヅラフジ科)
マダラエグリバ,"Plusiodonta casta (Butler, 1878)",5月・10月・12月,"""アオツヅラフジ。""。寄主植物: コウモリカズラ (以上ツヅラフジ科)"
ヒメアケビコノハ,"Eudocima phalonia (Linnaeus, 1763)",6月～8月・9月～10月,"""アオツヅラフジ。""。寄主植物: コウシュウウヤク、コバノハスノハカズラ、オオツヅラフジ (以上ツヅラフジ科)"
ミドリモンコノハ,"Eudocima homaena (Hübner, 1823)",3月～6月,"""Menispermum属。""。寄主植物: Cocculus属 (以上ツヅラフジ科)"
アケビコノハ,"Eudocima tyrannus (Guenée, 1852)",5月から晩秋,"""アケビ。""。寄主植物: ミツバアケビ、ムベ (以上アケビ科)、メギ、ヘビノボラズ、ヒイラギナンテン (以上メギ科)"
キマエコノハ,"Eudocima salaminia (Cramer, 1777)",6月～11月,"""コバノハスノハカズラ (ツヅラフジ科)。""。寄主植物: コウモリカズラ (ツヅラフジ科)"
タイワンキシタクチバ,"Hypocala subsatura (Guenée, 1852)",5月～10月,寄主植物: カキノキ (カキノキ科)
インドキシタクチバ,"Hypocala rostrata (Fabricius, 1794)",1月～11月,"""カキノキ。""。寄主植物: リュウキュウガキ、リュウキュウコクタン、ケガキ (以上カキノキ科)"
ムーアキシタクチバ,"Hypocala deflorata (Fabricius, 1794)",5月～10月,"""カキノキ。""。寄主植物: マメガキ、ブラックサポテ (以上カキノキ科)"
ヘリボシキシタクチバ,"Hypocala violacea (Butler, 1879)",3月～9月,"""未知。""。寄主植物: 未知"
ベニモンコノハ,"Phyllodes consobrinus (Westwood, 1848)",5月～8月,"""未知。""。寄主植物: 未知"
ハナジロクチバ,"Hypospila bolinoides (Guenée, 1852)",5月～11月,寄主植物: ムクロジ科
ニジオビベニアツバ,"Homodes vivida (Guenée, 1852)",5月・8月～10月,"""イヌビワ (クワ科)。""。寄主植物: リンゴ、ナシ (バラ科)"
ワタアカキリバ,"Cosmophila flava (Fabricius, 1775)",5月～11月,"""ワタ (アオイ科)。""。寄主植物: ムクゲ、オクラ、ハイビスカス、フヨウ、ローゼル (以上アオイ科)"
アカキリバ,"Gonitis mesogona (Walker, 1858)",6月～10月,"""ハチジョウクサイチゴ。""。寄主植物: クサイチゴ、カジイチゴ、ナワシロイチゴ、チチジマイチゴ (以上バラ科)、ムクゲ (アオイ科)、クスギ (ブナ科)"
ヒメアカキリバ,"Gonitis involuta (Walker, 1858)",3月～10月,"""クサイチゴ (バラ科)。""。寄主植物: オオハマボウ (アオイ科)"
ウスイロアカキリバ,"Anomis figlina Butler, 1889",5月～8月,寄主植物: キンゴジカ (アオイ科)
オオアカキリバ,"Rusicada privata (Walker, 1865)",5月・7月～9月,"""ハイビスカス属。""。寄主植物: ムクゲ、フヨウ (以上アオイ科)"
オキナワオオアカキリバ,"Rusicada albitibia (Walker, 1857)",3月～12月,"""ムクゲ。""。寄主植物: フヨウ、オオハマボウ、キヌアサ (以上アオイ科)"
ムラサキオオアカキリバ,"Rusicada leucolopha (Prout, 1928)",7月～9月,"""シナノキ。""。寄主植物: オオバボダイジュ、ヘラノキ (以上シナノキ科)、ムクゲ、フヨウ (アオイ科)"
カバイロオオアカキリバ,"Rusicada fulvida (Guenée, 1852)",3月～10月,"""オオハマボウ。""。寄主植物: フヨウ (以上アオイ科)、チリハマボウ、テリハハマボウ (オトギリソウ科)"
ハガタキリバ,"Scoliopteryx libatrix (Linnaeus, 1758)",5月～6月・8月,"""バッコヤナギ。""。寄主植物: カワヤナギ、セイヨウハコヤナギ (以上ヤナギ科)"
プライヤキリバ,"Goniocraspidum pryeri (Leech, 1889)",6月,"""未知。""。寄主植物: 未知"
ヒメウスヅマクチバ,"Dinumma placens (Walker, 1858)",5月・10月・12月,寄主植物: アカハダノキ (マメ科)
ウスヅマクチバ,"Dinumma deponens (Walker, 1858)",7月～8月,寄主植物: ネムノキ (マメ科)
ムラサキシタバ,"Catocala fraxini (Linnaeus, 1758)",8月上旬から10月下旬,"""年1化。卵越冬。""。寄主植物: ヤマナラシ、ポプラ類 (以上ヤナギ科)"
オオシロシタバ,"Catocala lara (Bremer, 1861)",7月下旬から10月上旬,"""年1化。卵越冬。""。寄主植物: シナノキ (アオイ科)"
エゾベニシタバ,"Catocala nupta (Linnaeus, 1767)",7月上旬から10月中旬,"""年1化。卵越冬。""。寄主植物: ドロヤナギ、ポプラ類、ヤナギ類 (以上ヤナギ科)"
ベニシタバ,"Catocala electa (Vieweg, 1790)",7月上旬から10月下旬,"""年1化。卵越冬。""。寄主植物: イスコリヤナギ、ヤナギ類 (以上ヤナギ科)"
オニベニシタバ,"Catocala dula (Bremer, 1861)",6月中旬から10月下旬,"""年1化。卵越冬。""。寄主植物: コナラ、クスギ、ミズナラ、カシワ、アラカシ (以上ブナ科)"
シロシタバ,"Catocala nivea (Butler, 1877)",7月中旬から10月下旬,"""年1化。卵越冬。""。寄主植物: ウワミズザクラ (バラ科)"
ミヤマキシタバ,"Catocala ella (Butler, 1877)",7月中旬から9月下旬,"""年1化。卵越冬。""。寄主植物: ハンノキ (カバノキ科)"
カバフキシタバ,"Catocala mirifica (Butler, 1877)",6月下旬から8月下旬,"""年1化。卵越冬。""。寄主植物: カマツカ (バラ科)"
アズミキシタバ,"Catocala koreana (Staudinger, 1892)",7月頃,"""年1化。卵越冬。""。寄主植物: イワシモツケ (バラ科)"
フシキキシタバ,"Catocala separans (Leech, 1889)",6月上旬から8月下旬,"""年1化。卵越冬。""。寄主植物: クスギ (ブナ科)"
ケンモンキシタバ,"Catocala deuteronympha (Staudinger, 1861)",7月中旬から9月中旬,"""年1化。卵越冬。""。寄主植物: ハルニレ (ニレ科)"
キララキシタバ,"Catocala fulminea (Scopoli, 1763)",7月下旬から8月下旬,"""年1化。卵越冬。""。寄主植物: リンゴ類、バラ科"
ワモンキシタバ,"Catocala xarippe Butler, 1877",6月上旬から9月中旬,"""年1化。卵越冬。""。寄主植物: スモモ、ズミ (以上バラ科)"
ハイモンキシタバ,"Catocala mabella (Holland, 1889)",6月中旬から8月下旬,"""年1化。卵越冬。""。寄主植物: ズミ (バラ科)"
ノコメキシタバ,"Catocala bella (Butler, 1877)",7月中旬から9月中旬,"""年1化。卵越冬。""。寄主植物: ズミ (バラ科)"
ナマリキシタバ,"Catocala columbina (Leech, 1900)",7月中旬から9月中旬,"""年1化。卵越冬。""。寄主植物: イワシモツケ、イワガサ、イブキシモツケ、アイズシモツケ (以上バラ科)"
マメキシタバ,"Catocala duplicata (Butler, 1885)",6月中旬から10月下旬,"""年1化。卵越冬。""。寄主植物: クスギ、アベマキ、ナラガシワ、コナラ、ミズナラ、カシワ、アラカシ (以上ブナ科)"
エゾシロシタバ,"Catocala dissimilis (Bremer, 1861)",7月中旬から10月中旬,"""年1化。卵越冬。""。寄主植物: ミズナラ、カシワ (以上ブナ科)"
アサマキシタバ,"Catocala streckeri (Staudinger, 1888)",5月中旬から8月中旬,"""年1化。卵越冬。""。寄主植物: クスギ、アベマキ、コナラ、ミズナラ、カシワ、アラカシ (以上ブナ科)"
ヒメシロシタバ,"Catocala nagioides (Wileman, 1924)",6月中旬から10月中旬,"""年1化。卵越冬。""。寄主植物: クスギ、アベマキ、ナラガシワ、コナラ、ミズナラ、カシワ、アラカシ (以上ブナ科)"
コシロシタバ,"Catocala actaea (Felder & Rogenhofer, 1874)",6月上旬から10月下旬,"""年1化。卵越冬。""。寄主植物: クスギ (ブナ科)"
ゴマシオキシタバ,"Catocala nubila (Butler, 1881)",7月上旬から11月上旬,"""年1化。卵越冬。""。寄主植物: ブナ、イヌブナ (以上ブナ科)"
アミメキシタバ,"Catocala hyperconnexa (Sugi, 1965)",7月上旬から10月上旬,"""年1化。卵越冬。""。寄主植物: アラカシ、クスギ、アベマキ (以上ブナ科)"
ヨシノキシタバ,"Catocala connexa (Butler, 1881)",7月上旬から10月中旬,"""年1化。卵越冬。""。寄主植物: ブナ (ブナ科)"
キシタバ,"Catocala patala (Felder & Rogenhofer, 1874)",6月中旬から10月下旬,"""年1化。卵越冬。""。寄主植物: フジ (マメ科)"
ヤクシマヒメキシタバ,"Catocala tokui (Sugi, 1976)",6月中旬から7月下旬,"""年1化。""。寄主植物: ウバメガシ、クスギ (以上ブナ科)"
ウスイロキシタバ,"Catocala intacta (Leech, 1889)",6月上旬から7月下旬,"""年1化。卵越冬。""。寄主植物: アラカシ (ブナ科)"
コガタキシタバ,"Catocala praegnax (Walker, 1858)",6月中旬から9月上旬,"""年1化。卵越冬。""。寄主植物: ハギ類 (マメ科)"
クロシオキシタバ,"Catocala kuangtungensis (Mell, 1931)",7月上旬から9月下旬,"""年1化。""。寄主植物: ウバメガシ (ブナ科)"
ジョナスキシタバ,"Catocala jonasii (Butler, 1877)",6月中旬から11月上旬,"""年1化。卵越冬。""。寄主植物: ケヤキ (ニレ科)"
アマミキシタバ,"Catocala macula (Hampson, 1891)",周年,"""未知。""。寄主植物: 未知"
モクメクチバ,"Perinaenia accipiter (Felder & Rogenhofer, 1874)",6月頃,"""年1化。成虫越冬。""。寄主植物: エノキ (ニレ科)"
ハイマダラクチバ,"Autophila inconspicua (Butler, 1881)",7月頃,"""年1化。成虫越冬。""。寄主植物: マメ科"
クビグロクチバ,"Lygephila maxima (Bremer, 1861)",7月～10月,"""年1化。終齢幼虫越冬。""。寄主植物: カモガヤ、ハマニンニク (以上イネ科)、ヤカヤツリグサ (カヤツリグサ科)"
アサマクビグロクチバ,"Lygephila vulcanea (Butler, 1881)",6月～10月,"""年1化。越冬態未知。""。寄主植物: マルバハギ、キハギ、ヤマハギ、フジ (以上マメ科)、クスギ、カシワ (以上ブナ科)"
ハイイロクビグロクチバ,"Lygephila craccae (Denis & Schiffermüller, 1775)",8月,"""年1化。卵越冬。""。寄主植物: ツルフジバカマ (マメ科)、Vicia、Astragalus (以上マメ科)"
ウスクビグロクチバ,"Lygephila viciae (Hübner, 1822)",6月～8月,"""年1化。蛹越冬。""。寄主植物: Vicia属 イワオウギ (マメ科)"
エゾクビグロクチバ,"Lygephila pastinum (Treitschke, 1826)",6月～9月,"""年1化。終齢幼虫越冬。""。寄主植物: クサフジ (マメ科)、Vicia属、Astragalus属 (以上マメ科)"
スミレクビグロクチバ,"Lygephila nigricostata (Graeser, 1890)",4月～5月・7月～9月,"""年2化。蛹越冬。""。寄主植物: クサフジ (マメ科)"
ヒメクビグロクチバ,"Lygephila recta (Bremer, 1864)",7月から10月,"""年2化。成虫越冬。""。寄主植物: ヤブマメ (マメ科)、同科ハギ類 (Lespedeza)"
キタヒメクビグロクチバ,"Lygephila subrecta (Sugi, 1982)",9月,"""未知。""。寄主植物: 未知"
ナニワクビグロクチバ,"Lygephila lilacina (Butler, 1878)",5月～8月,"""成虫越冬。""。寄主植物: 未知"
クロエリクチバ,"Pantydia metaspila (Walker, 1858)",3月～5月・12月,寄主植物: ハマササゲ (マメ科)
カクモンキシタバ,"Chrysorithrum amatum (Bremer & Grey, 1853)",5月～8月,"""年2化。蛹越冬。""。寄主植物: ヤマハギ (マメ科)"
ウンモンキシタバ,"Chrysorithrum flavomaculatum (Bremer, 1861)",6月～8月,寄主植物: クサフジ (マメ科)
クロクモアツバ,"Acantholipes trajectus (Walker, 1865)",10月,寄主植物: マメ科
ソトジロツマキリクチバ,"Arytrura musculus (Ménétriès, 1859)",5月～9月,寄主植物: ヤナギ類 (ヤナギ科)
ツメクサキシタバ,"Euclidia dentata (Staudinger, 1871)",5月～6月・7月～8月,"""年2化。""。寄主植物: シロツメクサ、クサフジ (以上マメ科)"
ユミモンクチバ,"Melapia electaria (Bremer, 1864)",4月～5月・7月～9月,"""年2化。""。寄主植物: オヒシバ (イネ科)"
クロスジュミモンクチバ,Melapia japonica,5月～10月,"""未知。""。寄主植物: 未知"
フタクロオビクチバ,"Melapia bifasciata (Inoue & Sugi, 1961)",4月～11月,"""未知。""。寄主植物: 未知"
ヤエヤマサンカククチバ,"Melapia kishidai (Sugi, 1968)",3月～12月,"""未知。""。寄主植物: 未知"
モンムラサキクチバ,"Ercheia umbrosa (Butler, 1881)",5月～6月・8月～10月,"""フジ。""。寄主植物: ネムノキ (以上マメ科)"
モンシロムラサキクチバ,"Ercheia niveostrigata (Warren, 1913)",4月～9月,"""年2化。""。寄主植物: ボタンヅル (キンポウゲ科)"
シラホシモクメクチバ,"Ercheia dubia (Butler, 1874)",3月～12月,寄主植物: ハカマカズラ (マメ科)
クロモンシタバ,"Ophiusa tirhaca (Cramer, 1777)",3・8月～11月,"""未知。""。寄主植物: 未知"
コクロモンシタバ,"Ophiusa microtirhaca Sugi, 1990",3・7・8・10月,"""未知。""。寄主植物: 未知"
ヒロオビクロモンシタバ,"Ophiusa disjungens (Walker, 1858)",ほぼ年中,"""バンジロウ。""。寄主植物: レモンユーカリ (以上フトモモ科)"
ヘリグロクチバ,"Ophiusa triphaenoides (Walker, 1858)",3月～12月,"""サラソウジュ (フタバガキ科)。""。寄主植物: モタマナ (シクンシ科)、フトモモ科"
コヘリグロクチバ,"Ophiusa olista (Swinhoe, 1893)",5月～6月・7月～9月,"""年2化。""。寄主植物: 常緑カシの1種"
キバネヘリグロクチバ,"Ophiusa trapezium (Guenée, 1852)",3月～5月・12月,"""未知。""。寄主植物: 未知"
キモンクチバ,"Ophisma gravata Guenée, 1852",3月～5月・12月,"""成虫は果実を吸汁する害虫。""。寄主植物: ホソバノウナギツカミ (タデ科)"
オオシラホシアシブトクチバ,"Achaea serva (Fabricius, 1775)",3月～12月,"""小笠原諸島では普通。成虫は果実を吸汁する害虫。""。寄主植物: ハマビワ (クスノキ科)、アカテツ、オオバアカテツ (以上アカテツ科)。国外ではトウゴマ (トウダイグサ科)、カキノキ (カキノキ科)、サツマイモ (ヒルガオ科) など"
タイリクアシブトクチバ,"Parallelia mandschurica (Staudinger, 1892)",6月～9月,"""未知。""。寄主植物: ヒトツバハギ (トウダイグサ科)"
ホソオビアシブトクチバ,"Parallelia arctotaenia (Guenée, 1852)",5月～10月,"""庭園に植えられるセイヨウバラを足掛かりにして、日本本土を北上した可能性がある。蛹越冬。""。寄主植物: コナラ、クヌギ、アラカシ、ウバメガシ (以上ブナ科)、桃のカンバ (カバノキ科)、バラ、ヤセノイバラ (以上バラ科)、サルスベリ (ミソハギ科) など"
アシブトクチバ,"Parallelia stuposa (Fabricius, 1794)",5月～6月・8月～10月,"""幼虫は都市部ではザクロにしぱしば発生する。蛹越冬。""。寄主植物: ザクロ (ザクロ科)、サルスベリ (ミソハギ科)、ヒトツバハギ、アカメガシワ (以上トウダイグサ科)、キイチゴ (バラ科)、ネムノキ (マメ科)"
ヒメアシブトクチバ,"Parallelia dulcis (Butler, 1878)",5月～7月・8月～9月,"""産地は局地的で少ない。""。寄主植物: 未知"
オキナワアシブトクチバ,"Bastilla arcuata (Moore, 1877)",3月～12月,"""未知。""。寄主植物: カキバカンコノキ、キールンカンコノキ (以上トウダイグサ科)"
ナタモンアシブトクチバ,"Bastilla joviana (Stoll, 1782)",3月～11月,"""成虫は果実を吸汁する害虫。""。寄主植物: コミカンソウ属 (トウダイグサ科)。フィジーではユーカリ属 (フトモモ科)"
ムラサキアシブトクチバ,"Bastilla maturata (Walker, 1858)",6月～11月,"""秋に得られることが多い。""。寄主植物: 未知"
キオビアシブトクチバ,"Bastilla fulvotaenia (Guenée, 1852)",3月～12月,"""未知。""。寄主植物: カキバカンコノキ、キールンカンコノキ (以上トウダイグサ科)"
