和名,学名,成虫発生時期,成虫発生時期に関する備考
ベニスズメ,"Deilephila elpenor (Linnaeus, 1758)",4月-9月,年2化
ヒメスズメ,"Deilephila askoldensis (Oberthür, 1879)",6月-9月,年1化
シタベニセスジスズメ,"Hippotion celerio (Linnaeus, 1758)",4月-10月,
モトグロシタベニスズメ,"Hippotion echeclus (Boisduval, 1875)",7月,
コシタベニスズメ,"Hippotion boerhaviae (Fabricius, 1775)",3月,
マメシタベニスズメ,"Hippotion rosetta Swinhoe, 1892",3月-11月,
オバナワスズメ,"Hippotion velox (Fabricius, 1793)",4月-11月,
シタベニスズメ,"Theretra alecto (Linnaeus, 1758)",5月-10月,
サツマスズメ,"Theretra clotho (Drury, 1773)",5月-10月,
キイロスズメ,"Theretra nessus (Drury, 1773)",5月-10月,年2化
セスジスズメ,"Theretra oldenlandiae (Fabricius, 1775)",5月-10月,年2化
コスズメ,"Theretra japonica (Boisduval, 1869)",5月-9月,年2化
タイワンベニスズメ,"Theretra suffusa (Walker, 1856)",5月-10月,
イッポンセスジスズメ,"Theretra silhetensis (Walker, 1856)",5月-10月,
ミドリスズメ,"Pergesa actea (Cramer, 1779)",3月-10月,
ビロードスズメ,"Rhagastis mongoliana (Butler, 1875)",5月-9月,年2化
ミスジビロードスズメ,"Rhagastis trilineata Matsumura, 1921",6月-9月,
