note_id,insect_id,type,content,reference,page,notes
note-000227,species-10145,生態情報,成虫は山間地のハルニレの葉上に見られる。,日本産タマムシ大図鑑,,
note-000228,species-10146,生態情報,成虫は日当たりの良いヤブマメやタンキリマメの葉上に普通に見られる。,日本産タマムシ大図鑑,,
note-000229,species-10147,生態情報,成虫はやや日陰のヌスビトハギの葉上に見られる。,日本産タマムシ大図鑑,,
note-000230,species-10148,生態情報,成虫はウツギ類の葉上にソ-ンダ-スチビタマムシと共に普通に見られる。,日本産タマムシ大図鑑,,
note-000231,species-10149,生態情報,成虫はムクノキの葉上に発見される。,日本産タマムシ大図鑑,,
note-000232,species-10150,生態情報,コウゾ、カジノキ、ツルコウゾ、ヤマクワなどに普通に見られる。,日本産タマムシ大図鑑,,
note-000233-E01,species-10151,出現時期,成虫は8月中旬から現れ、成虫で越冬し、翌春に再活動する,日本産タマムシ大図鑑,,
note-000234,species-10152,生態情報,平野部から中山間地域のクヌギ、カシワ、アベマキなどのナラ類の葉上に普通に見られる。,日本産タマムシ大図鑑,,
note-000235,species-10153,生態情報,スダジイのスウィ-ピングによって採集される。,日本産タマムシ大図鑑,,
note-000236,species-10154,生態情報,エノキやムクノキの葉上に見られる。,日本産タマムシ大図鑑,,
note-000237,species-10155,生態情報,平地から中山間地域のケヤキの葉上に普通に見られ。,日本産タマムシ大図鑑,,
note-000237-E01,species-10155,出現時期,時に大発生する,日本産タマムシ大図鑑,,
note-000238,species-10156,生態情報,ヨ-ロッパの近縁種はフウロソウ類の潜葉虫。,日本産タマムシ大図鑑,,
note-000239,species-10157,生態情報,成虫はノイバラの葉上に見られる。,日本産タマムシ大図鑑,,
note-000240,species-10159,生態情報,リュウキュウハイノキ、アマシバのスウィ-ピングによって採集される。,日本産タマムシ大図鑑,,
note-000241,species-10160,生態情報,アカガシやクヌギなどの枝先を掬って採集される。,日本産タマムシ大図鑑,,
note-000242,species-10161,生態情報,シマサルスベリのスウィ-ピングによって採集される。,日本産タマムシ大図鑑,,
note-000243,species-10162,生態情報,ホウロクイチゴなどのキイチゴ類の葉上に普通。,日本産タマムシ大図鑑,,
note-000244,species-10163,生態情報,ホウロクイチゴの葉上に見られる。,日本産タマムシ大図鑑,,
note-000245,species-10165,生態情報,ノグルミなどのスウィ-ピングで採集される。,日本産タマムシ大図鑑,,
note-000246,species-10166,生態情報,ナワシロイチゴなどの草本性キイチゴ類の葉上に多いが、木本性のキイチゴ類にも見られる。,日本産タマムシ大図鑑,,
note-000247,species-10167,生態情報,平野部のキイチゴ類の葉上に見られる。,日本産タマムシ大図鑑,,
note-000248,species-20276,生態情報,タラノウツギより幼虫が採集されているが。ヤマモモ、エビヅルより卵が確認されているが、成育するかどうかは不明。ヤマゴボウ、ヨウシュヤマゴボウ、カキノキ、チシャノキ、ヤナギの1種、ネズミモチ、シソ、ギシギシ、エゾノギシギシ、オオバコ、スズメノヤリ、イチジク、カラムシ、サンゴジュなどの花蕾・花穂・新芽にも産卵が確認されているが、これらの植物では幼虫は成育しないようである。飼育下ではインゲンマメで良好に成育する。,日本産蝶類標準図鑑,,
note-000248-E01,species-20276,出現時期,羽化にいたっていない,日本産蝶類標準図鑑,,
note-000250,species-H001,出現時期,5~11月,ハムシハンドブック,,
note-000251,species-H011,出現時期,4~9月,ハムシハンドブック,,
note-000252,species-H014,出現時期,3~11月,ハムシハンドブック,,
note-000253,species-H024,出現時期,4~9月,ハムシハンドブック,,
note-000254,species-H026,出現時期,3~11月,ハムシハンドブック,,
note-000255,species-H028,出現時期,4~10月,ハムシハンドブック,,
note-000256,species-H029,出現時期,3~7月,ハムシハンドブック,,
note-000257,species-H032,出現時期,4~11月,ハムシハンドブック,,
note-000258,species-H036,出現時期,5~9月,ハムシハンドブック,,
note-000259,species-H040,出現時期,4~10月,ハムシハンドブック,,
note-000260,species-H048,出現時期,4~10月,ハムシハンドブック,,
note-000261,species-H049,出現時期,4~10月,ハムシハンドブック,,
note-000262,species-H050,出現時期,4~10月,ハムシハンドブック,,
note-000263,species-H051,出現時期,4~10月,ハムシハンドブック,,
note-000264,species-H052,出現時期,4~10月,ハムシハンドブック,,
note-000265,species-H053,出現時期,4~10月,ハムシハンドブック,,
